scientific_name,common_name,description,image_url
Copiapoa hypogaea,"
","Copiapoa hypogaea is a small, often partly buried cactus from northern Chile. It forms low, rounded clumps with dark green to gray bodies, few or no spines, and produces bright yellow flowers in season. It survives in hot, very dry coastal deserts.",
Copiapoa lembeckei,"
","Copiapoa lembeckei is a slow-growing, clumping cactus from Chile’s coastal deserts. It forms rounded, gray-green stems with short spines, tolerates extreme drought, and produces striking yellow to orange, cup-shaped flowers. Easy to grow in well-draining soil.",
Dyckia sp.,"
","Dyckia sp. are hardy, terrestrial bromeliads with stiff, spiny rosettes of succulent-like leaves and silver-green tones. They form tall flower spikes of yellow-orange blooms, prefer sunny, rocky, well-drained sites, and tolerate drought and poor soils.",
Echinopsis huascha,Red Torch Cactus,"Echinopsis huascha is a small, round cactus from Argentina that forms solitary or small clumps. Covered in short spines, it produces striking trumpet-shaped red to orange flowers that open briefly in spring–summer. Prefers sunny, well-drained rocky or sandy soil.",
Echinopsis sp.,Easter Lily Cactus,"Echinopsis species are round or columnar cacti with ribs and spines that produce spectacular, large funnel-shaped flowers in white, pink, red or yellow. They’re easy to grow in bright light with fast-draining soil and moderate, infrequent watering.",
Gymnocalycium saglionis,"
","Gymnocalycium saglionis is a globose to short cylindrical cactus from Argentina. It forms large, blue‑green bodies with pronounced ribs and stout radial spines. In spring it bears big white to pale pink funnel-shaped flowers and tolerates sun and dry conditions.",
Parodia magnifica,"
","Parodia magnifica is a small, round cactus with smooth blue-green ribs and woolly areoles. It stays compact, produces bright yellow, funnel-shaped flowers in summer, and prefers bright light, fast-draining soil, and infrequent watering—an easy, decorative houseplant.",
Oreocereus trollii,Old Man of the Mountain,"Oreocereus trollii is a woolly columnar cactus from the high Andes (Bolivia/Peru). Covered in dense white hairs and long spines, it protects against cold and sun. It forms upright stems and bright pink to red tubular flowers near the top in summer.",
Pilosocereus sp.,"
","Pilosocereus sp. is a columnar, tree-like cactus with blue-green stems, pronounced ribs and clusters of spines. It produces night-blooming white or yellow flowers and fruit. Drought-tolerant and heat-loving, it is popular as an ornamental in sunny, well-drained locations.",
Ubelmannia pectinifera,"
","Uebelmannia pectinifera is a small, slow-growing cactus from Brazil (Minas Gerais). It forms rounded to short columnar stems with rough, ribbed tubercles and comb-like spines. In spring it produces small yellow flowers and is found on sunny, rocky outcrops.",
Aloe macrocarpa,Zebra Aloe,"Aloe macrocarpa is an East African succulent forming compact rosettes of thick, spotted gray-green leaves. It sends up tall stalks of tubular red-orange flowers. Drought-tolerant and easy to grow, it prefers full sun and well-draining soil.",
Aloidendron dichotomum,Quiver Tree,"Aloidendron dichotomum, the quiver tree, is a tall succulent native to southern Africa. It has thick, branching trunks with rosettes of spiky blue-green leaves and bright yellow flowers. Very drought-tolerant, it grows on rocky slopes with a striking silhouette.",
Crassula 'Tom Thumb',Tom Thumb,"Crassula 'Tom Thumb' is a tiny, low-growing succulent with thick, glossy, paired rounded leaves that form dense mats. It has short stems and small white or pink-tinged flowers. Easy-care and drought-tolerant, it’s great for rock gardens, containers, or mixed succulent displays.",
Dracaena hallii,Baseball Bat,"Dracaena hallii is a compact, slow-growing succulent with short, thick, upright leaves often mottled dark green and silvery gray. It forms tight clumps, tolerates low light and drought, and makes an easy, low-maintenance houseplant for pots and small spaces.",
Fockea edulis,"
","Fockea edulis is a slow-growing succulent native to southern Africa with a large, round water-storing tuber and thin twining stems. It bears small, sweet-scented, pale flowers and seasonal leaves. Drought-tolerant and ornamental, it’s prized for its sculptural caudex in pots.",
Haworthiopsis limifolia,Fairy Washboard,"Haworthiopsis limifolia is a small, easy-care succulent with tight rosettes of thick, ridged triangular leaves. Native to South Africa, it forms clumps of dark green to brownish foliage, prefers bright light, fast-draining soil, and infrequent watering—great for pots or windowsills.",
Parodia leninghausii ,Goldenball Cactus,"Parodia leninghausii is a small columnar cactus with soft golden spines that form fuzzy, clustered stems. It produces bright yellow, daisy-like flowers in summer. Native to Brazil, it prefers bright light, fast-draining soil, and occasional watering.",
Hemionitis bradburyi,Wooly Lip Fern,"Hemionitis bradburyi is a small evergreen fern with shiny, arrowhead-shaped fronds arising from a short creeping rhizome. It thrives in moist, shaded spots on soil or rocks and is valued for its bold, simple leaves in gardens and terrariums.",
Pelargonium carnosum ,Pelargonium,"Pelargonium carnosum is a small, fleshy-leaved geranium native to South Africa. It forms low, succulent stems with water-storing leaves and produces clusters of delicate flowers. Suitable for sunny, well-drained spots; drought-tolerant and easy to care for.",
Yucca baccata,Blue Yucca,"Yucca baccata, the banana yucca, is a low-growing evergreen with rosettes of stiff, swordlike leaves and tall stalks of creamy white bell-shaped flowers. Native to the southwestern US, it produces banana-shaped edible fruits and thrives on dry, rocky slopes.",
Leucophyllum frutescens,Barometer Bush,"Leucophyllum frutescens, commonly called Texas sage or barometer bush, is a drought-tolerant evergreen shrub with silvery-gray leaves and showy purple-pink tubular flowers that often bloom after rain. It stays compact, needs little care, and attracts bees and hummingbirds.",
Agave lechuguilla,Lechuguilla,"Agave lechuguilla, a small, spiky desert agave native to the Chihuahuan Desert, forms dense rosettes of stiff, toothed leaves. It sends up a tall flowering stalk once, then dies. Very drought-tolerant and an important plant in arid landscapes.",
Cylindropuntia sp.,Cholla,"Cylindropuntia (cholla) is a group of spiny desert cacti with cylindrical stem segments covered in sharp, often barbed spines. They produce colorful flowers and fleshy fruits, survive hot dry climates, and easily break apart to spread and root nearby.",
Larrea tridentata,Creosote Bush,"Larrea tridentata, the creosote bush, is an evergreen desert shrub of the American Southwest and northern Mexico. It has small yellow flowers, a strong resinous scent after rain, deep roots, extreme drought tolerance, and long-lived clonal growth.",
Opuntia phaecantha,Purple-fruited Prickly Pear,"Opuntia phaecantha is a small prickly pear cactus with flattened green pads, sharp spines and tiny hair-like glochids. It bears bright yellow to orange flowers in spring and red edible fruits, thriving in sunny, dry, rocky soils of the Southwest.",
Opuntia santa-rita 'Tubac',Santa Rita Prickly Pear,"Opuntia santa-rita 'Tubac' is a hardy prickly pear cactus with flat, spiny pads that often blush reddish-purple in cool weather. It produces bright yellow flowers and tasty red fruits. Drought-tolerant and sun-loving, it's ideal for low‑maintenance dry gardens.",
Simmondsia chinensis,Jojoba,"Simmondsia chinensis, commonly called jojoba, is a drought-tolerant evergreen shrub from southwestern North America. It has leathery leaves and produces oval seeds that yield liquid wax (jojoba oil), widely used in skin and hair care products for gentle moisturizing.",
Yucca faxoniana,Spanish Dagger,"Yucca faxoniana is a tree-like yucca with a single stout trunk topped by a dense rosette of stiff, blue-gray, sword-shaped leaves with sharp tips. It produces tall stalks of creamy-white, bell-shaped flowers and thrives in dry, rocky desert climates.",
Opuntia basilaris,Beaver Tail Cactus,"Opuntia basilaris, the beavertail cactus, is a low-growing desert plant with smooth, flat paddle-like pads and tiny barbed hairs (glochids). In spring it bears showy magenta flowers with yellow centers and thrives in dry, rocky soils of the southwestern United States.",
Opuntia basilaris hyb. 'Baby Rita',Baby Rita,"Opuntia basilaris hyb. 'Baby Rita' is a compact, low-growing beavertail cactus with smooth, flattened pads and bright magenta-pink flowers. Drought-tolerant and sun-loving, it’s ideal for rock gardens, containers, and water-wise landscapes.",
Agave parrasana,Cabbage Head Agave,"Agave parrasana is a small, compact succulent forming tight rosettes of thick blue-gray leaves edged with soft teeth and a sharp tip. Slow-growing and drought-tolerant, it makes striking architectural accents and, like other agaves, flowers once then dies after seeding.",
Chilopsis linearis,Desert Willow,"Chilopsis linearis, the desert willow, is a small, drought-tolerant tree with narrow willow-like leaves and long bean-like seed pods. It bears showy pink to purple trumpet flowers in summer that attract hummingbirds and bees, making it popular for xeriscapes in arid regions.",
Euphorbia antisyphilitica ,Candelilla,"Euphorbia antisyphilitica, called candelilla, is a leafless, upright succulent shrub from the Chihuahuan Desert. It has narrow waxy green stems, tiny yellow flowers and a milky sap. Extremely drought-tolerant, it’s valued for candelilla wax and dry-land landscaping.",
Euphorbia milii,Crown Of Thorns,"Euphorbia milii, called crown-of-thorns, is a small succulent shrub with woody, thorny stems and bright red, pink, or yellow petal-like bracts. It tolerates heat and drought, blooms most of the year in warm spots, and has milky, irritating sap.",
